lo_orderkey|lo_linenumber|lo_custkey|lo_partkey|lo_suppkey|lo_orderdate|lo_orderpriority|lo_shippriority|lo_quantity|lo_extendedprice|lo_ordertotalprice|lo_discount|lo_revenue|lo_supplycost|lo_tax|lo_commitdate|lo_shipmode
453|3|4|14|2|19961204|1-URGENT|0|38|3473238|16036895|10|3125914|54840|1|19970201|SHIP
2593|4|16|161|1|19951214|4-NOT SPECI|0|44|4669104|12187102|2|4575721|63669|8|19960201|RAIL
5570|3|2|60|1|19940717|2-HIGH|0|29|2784174|19422464|2|2728490|57603|5|19940924|SHIP
5893|5|13|104|2|19970101|4-NOT SPECI|0|25|2510250|11336626|5|2384737|60246|7|19970301|SHIP
5255|3|25|130|2|19951102|2-HIGH|0|41|4223533|9113541|9|3843415|61807|3|19960115|FOB
320|4|28|199|2|19920319|1-URGENT|0|5|549595|16974155|5|522115|65951|4|19920512|FOB
3428|6|23|35|1|19941212|4-NOT SPECI|0|48|4488144|23553222|9|4084211|56101|2|19950113|SHIP
451|5|10|94|1|19970526|5-LOW|0|36|3578724|17777285|0|3578724|59645|0|19970806|FOB
5700|2|20|123|1|19930907|4-NOT SPECI|0|30|3069360|12645442|0|3069360|61387|6|19931124|MAIL
2501|5|2|104|2|19930620|3-MEDIUM|0|22|2209020|15619926|0|2209020|60246|6|19930914|MAIL
3108|1|19|109|1|19941217|2-HIGH|0|37|3733670|11591245|6|3509649|60546|4|19950212|RAIL
1731|5|29|53|1|19960512|2-HIGH|0|37|3526285|22008711|10|3173656|57183|5|19960722|RAIL
289|1|29|174|2|19940313|1-URGENT|0|25|2685425|7143555|7|2497445|64450|5|19940605|FOB
3335|3|10|140|1|19920823|4-NOT SPECI|0|16|1664224|6946612|1|1647581|62408|6|19921016|SHIP
4614|3|20|8|1|19960101|5-LOW|0|36|3268800|7890342|10|2941920|54480|4|19960306|REG AIR
2151|2|28|15|1|19970120|3-MEDIUM|0|29|2653529|21090643|0|2653529|54900|2|19970307|SHIP
3938|5|29|56|2|19960214|5-LOW|0|17|1625285|14916855|6|1527767|57363|8|19960412|AIR
5796|2|22|103|1|19980330|5-LOW|0|2|200620|16465942|2|196607|60186|5|19980614|AIR
2535|6|13|56|2|19971114|1-URGENT|0|40|3824200|10630048|4|3671232|57363|7|19980121|RAIL
2881|3|25|93|2|19950123|5-LOW|0|21|2085489|5349312|7|1939504|59585|3|19950318|SHIP
2529|3|10|141|2|19960506|4-NOT SPECI|0|50|5205700|14696831|9|4737187|62468|8|19960723|MAIL
4262|1|7|76|1|19921204|4-NOT SPECI|0|30|2928210|3986975|1|2898927|58564|3|19930210|RAIL
5479|5|19|167|1|19971004|5-LOW|0|19|2027604|15621275|4|1946499|64029|4|19971216|AIR
513|3|29|196|1|19930829|4-NOT SPECI|0|31|3398189|19430480|9|3092351|65771|2|19931016|FOB
5153|1|16|35|1|19940612|2-HIGH|0|42|3927126|11185556|3|3809312|56101|1|19940826|RAIL
2915|6|19|102|2|19971209|4-NOT SPECI|0|37|3707770|16477299|8|3411148|60126|6|19980223|FOB
1572|6|28|64|1|19961212|3-MEDIUM|0|2|192812|14907823|10|173530|57843|6|19970203|MAIL
4545|3|22|87|2|19930823|3-MEDIUM|0|9|888372|7813114|10|799534|59224|6|19930929|AIR
3362|5|10|138|1|19970621|1-URGENT|0|36|3737268|13534783|6|3513031|62287|0|19970721|RAIL
327|5|1|30|1|19931231|5-LOW|0|3|279009|15549212|4|267848|55801|7|19940228|TRUCK
